X	PHI
  -2.685	  -0.316
  -2.684	  -0.316
  -2.684	  -0.317
  -2.683	  -0.317
  -2.683	  -0.318
  -2.682	  -0.319
  -2.681	  -0.319
  -2.681	  -0.320
  -2.680	  -0.320
  -2.680	  -0.321
  -2.679	  -0.322
  -2.678	  -0.322
  -2.678	  -0.323
  -2.677	  -0.323
  -2.677	  -0.324
  -2.676	  -0.325
  -2.675	  -0.325
  -2.675	  -0.326
  -2.674	  -0.326
  -2.674	  -0.327
  -2.673	  -0.328
  -2.672	  -0.328
  -2.672	  -0.329
  -2.671	  -0.329
  -2.671	  -0.330
  -2.670	  -0.331
  -2.669	  -0.331
  -2.669	  -0.332
  -2.668	  -0.332
  -2.668	  -0.333
  -2.667	  -0.334
  -2.666	  -0.334
  -2.666	  -0.335
  -2.665	  -0.335
  -2.665	  -0.336
  -2.664	  -0.337
  -2.663	  -0.337
  -2.663	  -0.338
  -2.662	  -0.338
  -2.662	  -0.339
  -2.661	  -0.340
  -2.660	  -0.340
  -2.660	  -0.341
  -2.659	  -0.341
  -2.659	  -0.342
  -2.658	  -0.343
  -2.657	  -0.343
  -2.657	  -0.344
  -2.656	  -0.344
  -2.656	  -0.345
  -2.655	  -0.346
  -2.654	  -0.346
  -2.654	  -0.347
  -2.653	  -0.347
  -2.653	  -0.348
  -2.652	  -0.349
  -2.651	  -0.349
  -2.651	  -0.350
  -2.650	  -0.350
  -2.650	  -0.351
  -2.649	  -0.352
  -2.648	  -0.352
  -2.648	  -0.353
  -2.647	  -0.353
  -2.647	  -0.354
  -2.646	  -0.355
  -2.645	  -0.355
  -2.645	  -0.356
  -2.644	  -0.356
  -2.644	  -0.357
  -2.643	  -0.358
  -2.642	  -0.358
  -2.642	  -0.359
  -2.641	  -0.359
  -2.641	  -0.360
  -2.640	  -0.361
  -2.639	  -0.361
  -2.639	  -0.362
  -2.638	  -0.362
  -2.638	  -0.363
  -2.637	  -0.364
  -2.636	  -0.364
  -2.636	  -0.365
  -2.635	  -0.365
  -2.635	  -0.366
  -2.634	  -0.367
  -2.633	  -0.367
  -2.633	  -0.368
  -2.632	  -0.368
  -2.632	  -0.369
  -2.631	  -0.370
  -2.630	  -0.370
  -2.630	  -0.371
  -2.629	  -0.371
  -2.629	  -0.372
  -2.628	  -0.373
  -2.627	  -0.373
  -2.627	  -0.374
  -2.626	  -0.374
  -2.626	  -0.375
  -2.625	  -0.376
  -2.624	  -0.376
  -2.624	  -0.377
  -2.623	  -0.377
  -2.623	  -0.378
  -2.622	  -0.379
  -2.621	  -0.379
  -2.621	  -0.380
  -2.620	  -0.380
  -2.620	  -0.381
  -2.619	  -0.382
  -2.618	  -0.382
  -2.618	  -0.383
  -2.617	  -0.383
  -2.617	  -0.384
  -2.616	  -0.385
  -2.615	  -0.385
  -2.615	  -0.386
  -2.614	  -0.386
  -2.614	  -0.387
  -2.613	  -0.388
  -2.612	  -0.388
  -2.612	  -0.389
  -2.611	  -0.389
  -2.611	  -0.390
  -2.610	  -0.391
  -2.609	  -0.391
  -2.609	  -0.392
  -2.608	  -0.392
  -2.608	  -0.393
  -2.607	  -0.394
  -2.606	  -0.394
  -2.606	  -0.395
  -2.605	  -0.395
  -2.605	  -0.396
  -2.604	  -0.397
  -2.603	  -0.397
  -2.603	  -0.398
  -2.602	  -0.398
  -2.602	  -0.399
  -2.601	  -0.400
  -2.600	  -0.400
  -2.600	  -0.401
  -2.599	  -0.401
  -2.599	  -0.402
  -2.598	  -0.403
  -2.597	  -0.403
  -2.597	  -0.404
  -2.596	  -0.404
  -2.596	  -0.405
  -2.595	  -0.406
  -2.594	  -0.406
  -2.594	  -0.407
  -2.593	  -0.407
  -2.593	  -0.408
  -2.592	  -0.409
  -2.591	  -0.409
  -2.591	  -0.410
  -2.590	  -0.410
  -2.590	  -0.411
  -2.589	  -0.412
  -2.588	  -0.412
  -2.588	  -0.413
  -2.587	  -0.413
  -2.587	  -0.414
  -2.586	  -0.415
  -2.585	  -0.415
  -2.585	  -0.416
  -2.584	  -0.416
  -2.584	  -0.417
  -2.583	  -0.418
  -2.582	  -0.418
  -2.582	  -0.419
  -2.581	  -0.419
  -2.581	  -0.420
  -2.580	  -0.421
  -2.579	  -0.421
  -2.579	  -0.422
  -2.578	  -0.422
  -2.578	  -0.423
  -2.577	  -0.424
  -2.576	  -0.424
  -2.576	  -0.425
  -2.575	  -0.425
  -2.575	  -0.426
  -2.574	  -0.427
  -2.573	  -0.427
  -2.573	  -0.428
  -2.572	  -0.428
  -2.572	  -0.429
  -2.571	  -0.430
  -2.570	  -0.430
  -2.570	  -0.431
  -2.569	  -0.431
  -2.569	  -0.432
  -2.568	  -0.433
  -2.567	  -0.433
  -2.567	  -0.434
  -2.566	  -0.434
  -2.566	  -0.435
  -2.565	  -0.436
  -2.564	  -0.436
  -2.564	  -0.437
  -2.563	  -0.437
  -2.563	  -0.438
  -2.562	  -0.439
  -2.561	  -0.439
  -2.561	  -0.440
  -2.560	  -0.440
  -2.560	  -0.441
  -2.559	  -0.442
  -2.558	  -0.442
  -2.558	  -0.443
  -2.557	  -0.443
  -2.557	  -0.444
  -2.556	  -0.445
  -2.555	  -0.445
  -2.555	  -0.446
  -2.554	  -0.446
  -2.554	  -0.447
  -2.553	  -0.448
  -2.552	  -0.448
  -2.552	  -0.449
  -2.551	  -0.449
  -2.551	  -0.450
  -2.550	  -0.451
  -2.549	  -0.451
  -2.549	  -0.452
  -2.548	  -0.452
  -2.548	  -0.453
  -2.547	  -0.454
  -2.546	  -0.454
  -2.546	  -0.455
  -2.545	  -0.455
  -2.545	  -0.456
  -2.544	  -0.457
  -2.543	  -0.457
  -2.543	  -0.458
  -2.542	  -0.458
  -2.542	  -0.459
  -2.541	  -0.460
  -2.540	  -0.460
  -2.540	  -0.461
  -2.539	  -0.461
  -2.539	  -0.462
  -2.538	  -0.463
  -2.537	  -0.463
  -2.537	  -0.464
  -2.536	  -0.464
  -2.536	  -0.465
  -2.535	  -0.466
  -2.534	  -0.466
  -2.534	  -0.467
  -2.533	  -0.467
  -2.533	  -0.468
